Лист;Строка;Тип связи;Книги;Номера деталей;Отметки источника;Комментарий
WK-20;2;Прямая замена по строке;K1623 ↔ K1626;K1623.01.00 ↔ K1626.01.00;;
WK-20;3;Прямая замена по строке;K1623 ↔ K1626;K1623.01.01.00 ↔ K1625.01.01.00;;Взаимозаменяемы в целом: 1623 — износостойкий стальной лист, 1626 — композитный износостойкий лист. Фактически поставляемый 1623 также изготавливается как композитная износостойкая футеровка.
WK-20;4;Одинаковый номер;K1623 ↔ K1626;K1601.30.02.00 ↔ K1601.30.02.00;Да;
WK-20;5;Прямая замена по строке;K1623 ↔ K1626;K1623.01.03.00 ↔ K1625.01.03.00;;Взаимозаменяемы в целом: 1623 — износостойкий стальной лист, 1625 — композитный износостойкий лист. Фактически поставляемый 1623 также изготавливается как композитная износостойкая футеровка.
WK-20;6;Прямая замена по строке;K1623 ↔ K1626;K1601.30.04.00 ↔ K1626.01.04.00;;Взаимозаменяемы в целом, последняя производственная модель — K1626.01.04.00.
WK-20;7;Одинаковый номер;K1623 ↔ K1626;K1601.30.05.00 ↔ K1601.30.05.00;Да;
WK-20;8;Одинаковый номер;K1623 ↔ K1626;K1601.33.06.00 ↔ K1601.33.06.00;Да;
WK-20;9;Одинаковый номер;K1623 ↔ K1626;K1601.30.07.00 ↔ K1601.30.07.00;Да;
WK-20;10;Одинаковый номер;K1623 ↔ K1626;K1601.31.01 ↔ K1601.31.01;Да;
WK-20;11;Одинаковый номер;K1623 ↔ K1626;K1622.01.01 ↔ K1622.01.01;Да;
WK-20;12;Одинаковый номер;K1623 ↔ K1626;K1601.30.03 ↔ K1601.30.03;Да;
WK-20;13;Одинаковый номер;K1623 ↔ K1626;K1601.30.04 ↔ K1601.30.04;Да;
WK-20;14;Одинаковый номер;K1623 ↔ K1626;K1601.30.05 ↔ K1601.30.05;Да;"Размеры одинаковые: K1640.01.12.00 —конструкция из износостойкой стали и сварка A514, более износостойкая; K1623.01.05 — изготовлен из A514 методом резки; 
K1601.30.05 — литьё из высокомарганцовистой стали."
WK-20;15;Одинаковый номер;K1623 ↔ K1626;K1601.30.06 ↔ K1601.30.06;Да;
WK-20;16;Одинаковый номер;K1623 ↔ K1626;K1601.30.07 ↔ K1601.30.07;Да;
WK-20;17;Одинаковый номер;K1623 ↔ K1626;K1601.30.08 ↔ K1601.30.08;Да;
WK-20;18;Одинаковый номер;K1623 ↔ K1626;K1623.01.09.00 ↔ K1623.01.09.00;Да;
WK-20;19;Одинаковый номер;K1623 ↔ K1626;K1601.30.09 ↔ K1601.30.09;Да;
WK-20;20;Одинаковый номер;K1623 ↔ K1626;K1601.30.11 ↔ K1601.30.11;Да;
WK-20;21;Одинаковый номер;K1623 ↔ K1626;GB/T5783 ↔ GB/T5783;Да;
WK-20;22;Одинаковый номер;K1623 ↔ K1626;GB/T95 ↔ GB/T95;Да;
WK-20;23;Одинаковый номер;K1623 ↔ K1626;K1601.30.08.00 ↔ K1601.30.08.00;Да;
WK-20;24;Одинаковый номер;K1623 ↔ K1626;GB/T6170 ↔ GB/T6170;Да;
WK-20;25;Одинаковый номер;K1623 ↔ K1626;GB/T93 ↔ GB/T93;Да;
WK-20;26;Одинаковый номер;K1623 ↔ K1626;K1802.01.10.00 ↔ K1802.01.10.00;Да;
WK-20;29;Одинаковый номер;K1623 ↔ K1626;K1623.01.12 ↔ K1623.01.12;Да;
WK-20;30;Одинаковый номер;K1623 ↔ K1626;K1601.30.13 ↔ K1601.30.13;Да;
WK-20;31;Одинаковый номер;K1623 ↔ K1626;K1601.30.14 ↔ K1601.30.14;Да;
WK-20;32;Одинаковый номер;K1623 ↔ K1626;K1623.01.15 ↔ K1623.01.15;Да;
WK-20;33;Одинаковый номер;K1623 ↔ K1626;K1623.01.16 ↔ K1623.01.16;Да;
WK-20;34;Одинаковый номер;K1623 ↔ K1626;K1623.01.17 ↔ K1623.01.17;Да;
WK-20;35;Одинаковый номер;K1623 ↔ K1626;K1601.33.18 ↔ K1601.33.18;Да;
WK-20;36;Одинаковый номер;K1623 ↔ K1626;K1601.33.19 ↔ K1601.33.19;Да;
WK-20;37;Одинаковый номер;K1623 ↔ K1626;K1601.30.21 ↔ K1601.30.21;Да;
WK-20;38;Одинаковый номер;K1623 ↔ K1626;K1601.30.22 ↔ K1601.30.22;Да;
WK-20;39;Одинаковый номер;K1623 ↔ K1626;GB/T6178 ↔ GB/T6178;Да;
WK-20;40;Одинаковый номер;K1623 ↔ K1626;GB/T91 ↔ GB/T91;Да;
WK-20;41;Одинаковый номер;K1623 ↔ K1626;K1601.30.23 ↔ K1601.30.23;Да;
WK-20;42;Одинаковый номер;K1623 ↔ K1626;K1621.01.02 ↔ K1621.01.02;Да;
WK-20;43;Одинаковый номер;K1623 ↔ K1626;TZQ7310.02.00 ↔ TZQ7310.02.00;Да;
WK-20;44;Одинаковый номер;K1623 ↔ K1626;K1601.30.25 ↔ K1601.30.25;Да;
WK-20;45;Одинаковый номер;K1623 ↔ K1626;K1601.33.26 ↔ K1601.33.26;Да;
WK-20;46;Одинаковый номер;K1623 ↔ K1626;K1601.31.02 ↔ K1601.31.02;Да;
WK-20;47;Одинаковый номер;K1623 ↔ K1626;K1613.01.27 ↔ K1613.01.27;Да;
WK-20;48;Одинаковый номер;K1623 ↔ K1626;K1613.01.11.00 ↔ K1613.01.11.00;Да;
WK-20;49;Одинаковый номер;K1623 ↔ K1626;GB/T6170 ↔ GB/T6170;Да;
WK-20;50;Одинаковый номер;K1623 ↔ K1626;GB/T93 ↔ GB/T93;Да;
WK-20;51;Одинаковый номер;K1623 ↔ K1626;K1601.02.00 ↔ K1601.02.00;Да;Последняя производственная модель — K1643.02.00, технологические требования: симметричность, сборка и сварка.
WK-20;52;Одинаковый номер;K1623 ↔ K1626;K1601.02.01.00 ↔ K1601.02.01.00;Да;
WK-20;53;Одинаковый номер;K1623 ↔ K1626;K1601.02.02.00 ↔ K1601.02.02.00;Да;
WK-20;54;Одинаковый номер;K1623 ↔ K1626;K1601.02.03.00 ↔ K1601.02.03.00;Да;
WK-20;56;Одинаковый номер;K1623 ↔ K1626;K1601.02.01 ↔ K1601.02.01;Да;
WK-20;57;Одинаковый номер;K1623 ↔ K1626;K1601.02.02 ↔ K1601.02.02;Да;
WK-20;59;Прямая замена по строке;K1623 ↔ K1626;K1619.03.00 ↔ K1626.03.00;;
WK-20;60;Прямая замена по строке;K1623 ↔ K1626;K1601.03.01.00 ↔ K1626.03.01.00;;
WK-20;61;Одинаковый номер;K1623 ↔ K1626;K1601.03.02.00 ↔ K1601.03.02.00;Да;
WK-20;62;Одинаковый номер;K1623 ↔ K1626;K1602.03.03.00 ↔ K1602.03.03.00;Да;
WK-20;63;Одинаковый номер;K1623 ↔ K1626;K1601.03.04.00 ↔ K1601.03.04.00;Да;
WK-20;64;Прямая замена по строке;K1623 ↔ K1626;K1602.03.05.00A ↔ K1625.03.05.00;;Взаимозаменяемы в целом: 1602 — обычный стальной канат, 1625 — стальной канат (спиральный/арматурный).
WK-20;65;Одинаковый номер;K1623 ↔ K1626;K1602.03.06.00 ↔ K1602.03.06.00;Да;
WK-20;66;Одинаковый номер;K1623 ↔ K1626;K1606.03.08.00 ↔ K1606.03.08.00;Да;
WK-20;67;Одинаковый номер;K1623 ↔ K1626;K1603.03.09.00 ↔ K1603.03.09.00;Да;
WK-20;68;Одинаковый номер;K1623 ↔ K1626;K1602.03.10.00 ↔ K1602.03.10.00;Да;Последняя производственная модель — K1643.03.10.00, требования к технологии производства и изготовления.
